https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume EUR
1717891200,2024-06-09 00:00:00,ETH/EUR,3412.3,3454.5,3400.6,3440.1,1184.20887128,4073796.938090328
1717804800,2024-06-08 00:00:00,ETH/EUR,3407.1,3437.7,3392.8,3414.3,800.98186313,2734792.375284759
1717718400,2024-06-07 00:00:00,ETH/EUR,3501.5,3538.0,3318.0,3407.8,2015.52677820,6868512.154749961
1717632000,2024-06-06 00:00:00,ETH/EUR,3554.2,3559.7,3454.0,3500.2,1209.26162291,4232657.532509581
1717545600,2024-06-05 00:00:00,ETH/EUR,3502.1,3572.2,3471.4,3552.4,1535.95681520,5456332.9903164795
1717459200,2024-06-04 00:00:00,ETH/EUR,3450.1,3520.0,3419.1,3500.2,1206.70772877,4223718.392240753
1717372800,2024-06-03 00:00:00,ETH/EUR,3483.2,3545.2,3447.0,3452.9,1434.06289294,4951675.763032526
1717286400,2024-06-02 00:00:00,ETH/EUR,3516.1,3535.9,3458.1,3484.3,584.57397264,2036831.092869552
1717200000,2024-06-01 00:00:00,ETH/EUR,3469.7,3530.0,3457.2,3515.5,592.82757601,2084085.3434631552
1717113600,2024-05-31 00:00:00,ETH/EUR,3459.6,3542.8,3433.2,3466.3,1422.29928687,4930116.018077482
1717027200,2024-05-30 00:00:00,ETH/EUR,3485.7,3526.2,3425.0,3460.0,1114.16237253,3855001.8089538002
1716940800,2024-05-29 00:00:00,ETH/EUR,3537.3,3576.6,3461.2,3485.4,1511.89654694,5269564.224704676
1716854400,2024-05-28 00:00:00,ETH/EUR,3581.9,3610.0,3472.0,3539.4,1336.09209793,4728964.371413441
1716768000,2024-05-27 00:00:00,ETH/EUR,3525.1,3657.7,3522.8,3581.9,1926.94717667,6902132.092114273
1716681600,2024-05-26 00:00:00,ETH/EUR,3459.7,3579.3,3444.4,3525.2,1190.13295935,4195456.708300619
1716595200,2024-05-25 00:00:00,ETH/EUR,3438.6,3483.6,3422.7,3458.9,618.32210068,2138714.314042052
1716508800,2024-05-24 00:00:00,ETH/EUR,3498.5,3540.0,3355.0,3438.7,2329.33939420,8009899.374835539
1716422400,2024-05-23 00:00:00,ETH/EUR,3453.6,3636.6,3271.5,3499.6,4183.97795249,14642249.242534002
1716336000,2024-05-22 00:00:00,ETH/EUR,3488.6,3504.7,3370.1,3449.5,1978.04590058,6823269.33405071
1716249600,2024-05-21 00:00:00,ETH/EUR,3366.9,3530.2,3333.0,3487.0,4450.70013958,15519591.386715459
1716163200,2024-05-20 00:00:00,ETH/EUR,2824.0,3394.0,2805.0,3366.7,3142.59492150,10580174.32221405
1716076800,2024-05-19 00:00:00,ETH/EUR,2874.8,2886.0,2813.0,2824.5,490.22277390,1384634.22488055
1715990400,2024-05-18 00:00:00,ETH/EUR,2846.0,2896.4,2840.7,2874.8,620.70251550,1784395.5915594
1715904000,2024-05-17 00:00:00,ETH/EUR,2709.4,2870.4,2702.1,2846.5,1347.30065007,3835091.3004242554
1715817600,2024-05-16 00:00:00,ETH/EUR,2783.6,2791.5,2690.9,2709.9,1256.32684973,3404520.130083327
1715731200,2024-05-15 00:00:00,ETH/EUR,2665.5,2791.1,2648.3,2785.3,1537.28341535,4281795.496774355
1715644800,2024-05-14 00:00:00,ETH/EUR,2732.7,2742.8,2644.5,2664.2,1320.76374036,3518778.757067112
1715558400,2024-05-13 00:00:00,ETH/EUR,2720.7,2776.5,2660.8,2732.6,1058.52779000,2892533.038954
1715472000,2024-05-12 00:00:00,ETH/EUR,2704.6,2741.8,2696.3,2719.9,505.41719794,1374684.2366770061
1715385600,2024-05-11 00:00:00,ETH/EUR,2704.0,2738.3,2683.2,2705.5,706.60820423,1911728.496544265
1715299200,2024-05-10 00:00:00,ETH/EUR,2817.0,2830.7,2674.5,2705.2,1219.46786489,3298904.468100428
1715212800,2024-05-09 00:00:00,ETH/EUR,2770.1,2836.1,2745.9,2816.0,1215.18068091,3421948.79744256
1715126400,2024-05-08 00:00:00,ETH/EUR,2795.3,2826.6,2734.6,2768.3,1349.15219148,3734858.0116740842
