https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume EUR
1540425600,2018-10-25 00:00:00,BTC/EUR,5636.67,5649.99,5583.30,5622.50,967.23869321,5438299.5525732245
1540339200,2018-10-24 00:00:00,BTC/EUR,5574.60,5663.00,5574.60,5636.68,947.34131824,5339859.861697043
1540252800,2018-10-23 00:00:00,BTC/EUR,5601.39,5608.05,5553.89,5574.58,922.51137966,5142613.486825042
1540166400,2018-10-22 00:00:00,BTC/EUR,5580.10,5613.60,5551.89,5592.40,1268.46661111,7093772.675971564
1540080000,2018-10-21 00:00:00,BTC/EUR,5577.89,5623.12,5564.78,5580.11,360.15892588,2009726.4238922468
1539993600,2018-10-20 00:00:00,BTC/EUR,5559.51,5598.99,5530.01,5577.90,279.64450501,1559829.0844952788
1539907200,2018-10-19 00:00:00,BTC/EUR,5597.67,5605.08,5548.00,5551.00,929.08855395,5157370.56297645
1539820800,2018-10-18 00:00:00,BTC/EUR,5618.69,5639.99,5550.09,5592.65,1158.60598280,6479677.749706419
1539734400,2018-10-17 00:00:00,BTC/EUR,5592.65,5622.62,5547.19,5620.24,891.77969457,5012015.9106100965
1539648000,2018-10-16 00:00:00,BTC/EUR,5560.99,5624.70,5531.50,5582.58,1171.55876533,6540320.532155951
1539561600,2018-10-15 00:00:00,BTC/EUR,5367.08,5850.00,5326.60,5558.19,4771.14508870,26518930.92056145
1539475200,2018-10-14 00:00:00,BTC/EUR,5395.85,5454.10,5325.29,5353.53,532.75268421,2852107.477498761
1539388800,2018-10-13 00:00:00,BTC/EUR,5371.00,5409.28,5362.00,5395.85,326.08374155,1759498.9568425678
1539302400,2018-10-12 00:00:00,BTC/EUR,5330.54,5407.86,5281.48,5371.00,1176.75554394,6320354.02650174
1539216000,2018-10-11 00:00:00,BTC/EUR,5678.58,5678.58,5284.00,5330.55,3027.79928161,16139835.460586186
1539129600,2018-10-10 00:00:00,BTC/EUR,5739.98,5739.98,5615.98,5679.09,1345.96216593,7643840.276911404
1539043200,2018-10-09 00:00:00,BTC/EUR,5763.45,5776.05,5720.41,5740.00,816.33874754,4685784.4108796
1538956800,2018-10-08 00:00:00,BTC/EUR,5708.96,5811.38,5687.38,5751.90,1409.17061196,8105408.442932724
1538870400,2018-10-07 00:00:00,BTC/EUR,5707.99,6650.00,4941.39,5708.96,3988.34452841,22769299.37891155
