Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
EXCHANGE,Current,8/25/2024 8:18,8/25/2024 8:18,xxx,-939,0,DKK,COMPLETED,1477
EXCHANGE,Current,8/26/2024 16:52,8/26/2024 16:52,xxx,-1250,0,DKK,COMPLETED,227
TOPUP,Current,8/31/2024 21:33,8/31/2024 21:33,xxx,2500,0,DKK,COMPLETED,2727
EXCHANGE,Current,8/31/2024 21:34,8/31/2024 21:34,xxx,-5,0,DKK,COMPLETED,2722
EXCHANGE,Current,09/02/2024 14:33,09/02/2024 14:33,xxx,-625,0,DKK,COMPLETED,2097
EXCHANGE,Current,09/02/2024 14:55,09/02/2024 14:55,xxx,-500,0,DKK,COMPLETED,1597
CARD_PAYMENT,Current,8/31/2024 21:34,09/03/2024 14:43,xxx,"-348,0",0,DKK,COMPLETED,1249
EXCHANGE,Current,09/06/2024 16:56,09/06/2024 16:56,xxx,-625,0,DKK,COMPLETED,624
EXCHANGE,Current,09/06/2024 17:18,09/06/2024 17:18,xxx,-550,0,DKK,COMPLETED,74
TOPUP,Current,09/11/2024 14:10,09/11/2024 14:10,xxx,2500,0,DKK,COMPLETED,2574
EXCHANGE,Current,09/11/2024 14:11,09/11/2024 14:11,xxx,-1000,0,DKK,COMPLETED,1574
EXCHANGE,Current,9/23/2024 7:25,9/23/2024 7:25,xxx,-748,0,DKK,COMPLETED,826
EXCHANGE,Current,9/23/2024 21:31,9/23/2024 21:31,xxx,-500,0,DKK,COMPLETED,326
TOPUP,Current,10/07/2024 20:11,10/07/2024 20:11,xxx,2500,0,DKK,COMPLETED,2826
EXCHANGE,Current,10/10/2024 12:05,10/10/2024 12:05,xxx,-1500,0,DKK,COMPLETED,1326
EXCHANGE,Current,10/20/2024 19:44,10/20/2024 19:44,xxx,-282,0,DKK,COMPLETED,1045
TOPUP,Current,10/22/2024 19:59,10/22/2024 19:59,xxx,2500,0,DKK,COMPLETED,3545
EXCHANGE,Current,10/22/2024 20:00,10/22/2024 20:00,xxx,-2617,0,DKK,COMPLETED,927
EXCHANGE,Current,10/24/2024 10:26,10/24/2024 10:26,xxx,-94,0,DKK,COMPLETED,834
TOPUP,Current,11/11/2024 13:52,11/11/2024 13:52,xxx,2500,0,DKK,COMPLETED,3334
TOPUP,Current,11/11/2024 13:55,11/11/2024 13:55,xxx,5000,0,DKK,COMPLETED,8334
EXCHANGE,Current,11/11/2024 13:57,11/11/2024 13:57,xxx,-5750,0,DKK,COMPLETED,2584
TOPUP,Current,12/14/2024 14:34,12/14/2024 14:34,xxx,5000,0,DKK,COMPLETED,7584
EXCHANGE,Current,12/19/2024 18:55,12/19/2024 18:55,xxx,-6250,0,DKK,COMPLETED,1334
EXCHANGE,Current,03/11/2024 08:46,03/11/2024 08:46,xxx,151,0,EUR,COMPLETED,193
EXCHANGE,Current,03/12/2024 17:48,03/12/2024 17:48,xxx,134,0,EUR,COMPLETED,"326,0"
CARD_PAYMENT,Current,3/26/2024 1:25,3/26/2024 11:17,xxx,-28,0,EUR,COMPLETED,298
EXCHANGE,Current,04/01/2024 18:53,04/01/2024 18:53,xxx,334,0,EUR,COMPLETED,633
TRANSFER,Current,04/01/2024 19:01,04/01/2024 19:01,xxx,-300,0,EUR,COMPLETED,333
EXCHANGE,Current,4/26/2024 2:25,4/26/2024 2:25,xxx,-3,0,EUR,COMPLETED,329
CARD_PAYMENT,Current,4/26/2024 2:25,4/26/2024 11:41,xxx,-28,0,EUR,COMPLETED,301
EXCHANGE,Current,05/02/2024 13:41,05/02/2024 13:41,xxx,201,0,EUR,COMPLETED,502
TRANSFER,Current,05/02/2024 13:42,05/02/2024 13:42,xxx,"-362,0",0,EUR,COMPLETED,139
EXCHANGE,Current,5/25/2024 9:43,5/25/2024 9:43,xxx,375,0,EUR,COMPLETED,514
EXCHANGE,Current,5/26/2024 2:25,5/26/2024 2:25,xxx,-3,0,EUR,COMPLETED,511
CARD_PAYMENT,Current,5/26/2024 2:25,5/26/2024 12:01,xxx,-28,0,EUR,COMPLETED,483
TRANSFER,Current,06/03/2024 06:53,06/03/2024 06:53,xxx,-360,0,EUR,COMPLETED,123
EXCHANGE,Current,6/26/2024 2:25,6/26/2024 2:25,xxx,-3,0,EUR,COMPLETED,119
CARD_PAYMENT,Current,6/26/2024 2:25,6/27/2024 12:42,xxx,-28,0,EUR,COMPLETED,91
EXCHANGE,Current,07/01/2024 16:00,07/01/2024 16:00,xxx,334,0,EUR,COMPLETED,425
TRANSFER,Current,07/01/2024 16:06,07/01/2024 16:06,xxx,-205,0,EUR,COMPLETED,220
EXCHANGE,Current,7/15/2024 15:29,7/15/2024 15:29,xxx,217,0,EUR,COMPLETED,437
EXCHANGE,Current,7/15/2024 15:43,7/15/2024 15:43,xxx,-4,0,EUR,COMPLETED,433
EXCHANGE,Current,7/16/2024 19:27,7/16/2024 19:27,xxx,100,0,EUR,COMPLETED,533
CARD_PAYMENT,Current,7/15/2024 15:43,7/17/2024 12:41,xxx,-248,0,EUR,COMPLETED,285
TRANSFER,Current,7/24/2024 16:08,7/24/2024 16:08,xxx,-205,0,EUR,COMPLETED,80
